confidence	intensity	category	term
high	high	selfharm	tw bl00d
high	high	selfharm	tw cutting
high	high	eating	tw eating habits
high	high	eating	tw eating mention
high	high	eating	tw eating problems
high	high	eating	tw eating stuff
high	high	eating	tw eating things
high	high	eating	tw ed
high	high	eating	tw ed account
high	high	eating	tw ed behavior
high	high	eating	tw ed content
high	high	eating	tw ed meme
high	high	eating	tw ed mention
high	high	eating	tw ed related
high	high	eating	tw ed shit
high	high	eating	tw ed stuff
high	high	eating	tw ed talk
high	high	eating	tw ed things
high	high	eating	tw ed thoughts
high	high	eating	tw ed tumblr
high	high	eating	tw relapse
high	high	selfharm	tw s3lfharm
high	high	selfharm	tw scars
high	high	selfharm	tw self half
high	high	selfharm	tw self harm mention
high	high	selfharm	tw selfharm
high	high	selfharm	tw selfharm related
high	high	selfharm	tw sh
high	high	selfharm	tw sh mention
high	high	suicide	tw sucidal thoughts
high	high	suicide	tw sui
high	high	suicide	tw sui mention
high	high	suicide	tw sui thoughts
high	high	suicide	tw suicice
high	high	suicide	tw suicide attempt
high	high	suicide	tw suicide baiting
high	high	suicide	tw suicude
high	high	suicide	tw suidice
high	high	eating	twed
high	high	suicide	unalive myself
high	high	eating	vegan ana
medium	high	eating	waist check
high	high	eating	waistspo
high	high	suicide	want to disappear
high	high	eating	weight tw
high	high	eating	wristspo
high	high	eating	disordered eating tw
high	high	suicide	don’t feel like living anymore
high	high	eating	don\t eat
high	high	eating	done eating
high	high	eating	dont eat
high	high	eating	donteat
medium	high	suicide	drowning
medium	high	suicide	dying
high	high	eating	eatiing desorders
high	high	eating	eatiing desroders
high	high	eating	eatiing diisorders
high	high	eating	eatiing diisroders
high	high	eating	eatin disorder
high	high	eating	eating desorders
high	high	eating	eating disoder memes
high	high	eating	eating disoder mention
high	high	eating	eating disoder things
high	high	eating	eating disoder thoughts
high	high	eating	eating disoder tips
high	high	eating	eating disoder tw
high	high	eating	eating disorder memes
high	high	eating	eating disorder things
high	high	eating	eating disorder thoughts
high	high	eating	eating disorder tw
high	high	eating	eating disroders
high	high	eating	eating disrorders
high	high	eating	eating disorder
high	high	eating	eating disorders
high	high	eating	eatingdisorder
high	high	eating	eatingisdefeating
high	high	eating	eatingmyowndisorder
high	high	eating	eatlessandbeatthismess
medium	high	eating	ed
medium	high	eating	ed blog
high	high	eating	ed buddy
high	high	eating	ed community
high	high	eating	ed diary
high	high	eating	ed meme
high	high	eating	ed memes
high	high	eating	ed problems
high	high	eating	ed shit
high	high	eating	ed struggles
high	high	eating	ed stuff
high	high	eating	ed things
high	high	eating	ed thinking
high	high	eating	ed thots
high	high	eating	ed thoughts
high	high	eating	ed tingz
high	high	eating	ed tip
high	high	eating	ed tips
high	high	eating	ed trigger
high	high	eating	ed tumblr
high	high	eating	ed tw
high	high	eating	edblog
high	high	eating	edblr
high	high	eating	edblur
high	high	eating	edmemes
high	high	eating	ednoes
high	high	eating	ednos
high	high	eating	ednoz
high	high	eating	edposts
high	high	eating	eds
high	high	eating	edthings
high	high	eating	edthoughts
high	high	eating	edtips
high	high	eating	edtmblr
high	high	eating	edtumblr
high	high	eating	edtumbrl
high	high	eating	edtw
high	high	eating	edtwt
low	high	suicide	f57
low	high	suicide	f58
medium	high	eating	fasting
high	high	eating	fasting buddies
high	high	eating	fasting buddy
high	high	eating	fastingtopasstime
medium	low	eating	flat stomach
high	high	suicide	gonna kms
low	low	eating	greenteaforyouandme
high	high	eating	haandspo
high	high	eating	handspo
high	high	suicide	hang myself
high	high	suicide	hang yourself
low	high	suicide	hanging
medium	high	eating	hip bones
high	high	eating	hipspo
medium	high	eating	honestspo
medium	low	depression	hopeless
medium	low	suicide	hurt
medium	low	suicide	hurting
medium	high	suicide	I am a burden
medium	high	suicide	I am dying
high	high	suicide	I hate myself
medium	high	eating	i just want to be skinny
high	high	eating	i wanna be someone\s thinspo
high	high	suicide	I want to die
high	high	suicide	I wish I were dead
high	high	suicide	jogo da baleia azul
high	high	eating	just ana things
high	high	eating	just ana thoughts
high	high	eating	just ed meme
high	high	eating	just ed memes
high	high	eating	just ed shit
high	high	eating	just ed things
high	high	eating	just ed thoughts
high	high	eating	justsolthoughts
high	high	suicide	kill me
high	high	suicide	kill myself
high	high	suicide	killed myself
high	high	suicide	kills myself
high	high	eating	leegspo
high	high	eating	legspiration
high	high	eating	legspo
medium	high	eating	losingweightbythedate
high	high	eating	low cal ana
low	high	eating	mager
medium	high	eating	magra
medium	high	eating	magro
medium	high	eating	maigre
high	high	suicide	male suicide
high	high	eating	male thinspo
high	high	eating	malespo
low	high	selfharm	masochism
high	high	eating	meansp0
high	high	eating	meanspiration
high	high	eating	meanspo
high	high	eating	meanspo tw
high	high	eating	meanspooo
high	high	eating	meansporation
high	high	eating	meanspro
high	high	selfharm	meanspx
high	high	eating	meeuh
high	high	suicide	mente suicida
medium	high	eating	mia
high	high	eating	mia community
high	high	eating	mia tips
high	high	eating	miablr
high	high	eating	miiaanna
high	high	eating	miim
high	high	eating	miuhh
high	high	selfharm	mutilación
high	high	selfharm	mutilar
high	high	selfharm	mutilar-se
high	high	selfharm	mutilarse
high	high	eating	mygoalissmol
medium	high	eating	mygoalsmyweight
medium	high	suicide	noose
medium	high	suicide	nooses
medium	high	eating	not eating
low	high	eating	not pro for anyone but me
low	high	eating	not pro for anyone but myself
low	high	eating	not pro only for myself
low	high	eating	only pro for me
low	high	eating	only pro for myself
high	high	eating	osfed
high	high	suicide	pensamentos suicidas
high	high	suicide	pensamientos suicidas
high	high	eating	pickleshave0cals
high	high	eating	pr0 4na
high	high	eating	pr0 ana
high	high	eating	pr0 ed
high	high	eating	pr0ana
high	high	eating	prettygirlsdonteat
high	high	eating	pro 4n4
high	high	eating	pro aana
high	high	eating	pro ama
high	high	eating	pro an4
high	high	eating	pro ana
high	high	eating	pro ana posts
high	high	eating	pro ane
high	high	eating	pro ania
high	high	eating	pro anna
high	high	eating	pro annna
high	high	eating	pro annnnna
high	high	eating	pro anoxeria
high	high	eating	pro ed
high	high	eating	pro mia
high	high	eating	pro miia
high	high	eating	pro rexie
high	high	eating	pro ana
high	high	eating	proani
high	high	eating	proanna
high	high	eating	proannnnna
high	high	eating	proanorexia
high	high	eating	proed
high	high	eating	promia
high	high	eating	promia
high	high	eating	prommia
high	high	suicide	quero me matar
high	high	suicide	quero morrer
high	high	eating	railthinpls
low	high	selfharm	razor
low	high	selfharm	razor blade
low	high	selfharm	razor blades
high	high	eating	reebspo
medium	high	eating	reexiee
high	high	eating	régime abc
medium	high	eating	rexia
high	high	eating	rexic
high	high	eating	rexie
high	high	eating	rexie-girl
high	high	eating	rexlife
high	high	eating	rexxia
high	high	eating	rexxic
high	high	eating	rexxie
high	high	eating	rexxx
high	high	eating	ribspo
high	high	selfharm	ritzen
high	high	selfharm	ritzer
high	high	eating	s\affamer
high	high	eating	s\infliger une blessure
high	high	selfharm	s3lf h@rm
high	high	selfharm	s3lf h4rm
high	high	selfharm	s3lfharm
low	low	eating	safe food
low	low	eating	safe foods
medium	low	selfharm	scar
medium	low	selfharm	scars
medium	high	selfharm	se couper
high	high	selfharm	se scarifier
medium	high	selfharm	self abuse
high	high	selfharm	self h@rm
high	high	selfharm	self h4rm
high	high	selfharm	self ham
high	high	selfharm	self harm
high	high	selfharm	self harm cw
high	high	selfharm	self harm mention
high	high	selfharm	self harn
high	high	selfharm	self harrrm
high	high	depression	self hate
high	high	selfharm	self hrm
high	high	selfharm	self injuries
high	high	selfharm	self-mutilation
high	high	selfharm	self harm
high	high	selfharm	self harm
high	high	selfharm	self inflicted
high	high	selfharm	self injure
high	high	selfharm	self injury
high	high	selfharm	self mutilation
high	high	suicide	sewer slide
high	high	suicide	sewerslidal
high	high	suicide	sewerslide
high	high	selfharm	sh tw
medium	high	suicide	shoot me
high	high	selfharm	shtwt
high	high	eating	size0ismyhero
high	high	eating	sk1p d1nner wake up th1nner
medium	high	eating	skeeny
high	high	eating	skiinny
high	high	eating	skiinymiinii
medium	high	eating	skin and bones
medium	high	eating	skin-and-bones
medium	high	eating	skinni
medium	high	eating	skinnny
medium	high	eating	skinny4u
medium	high	eating	skinnygivescleaningawholenewmeaning
medium	high	eating	skinnyland
medium	high	eating	skinnylife
medium	high	eating	skinnymini
high	high	eating	skinnyspo
high	high	eating	skinspo
medium	high	eating	skintea
medium	high	eating	skinteamintea
medium	high	eating	skinteaminty
medium	high	eating	skiny
low	high	selfharm	slice
low	high	selfharm	slices
high	high	selfharm	slit wrists
medium	high	eating	starvation
medium	high	eating	starve
medium	high	eating	starvemyself
medium	high	eating	starving
medium	high	eating	starving for thin
medium	high	eating	stop eating
medium	high	eating	stop eating
high	high	suicide	SU1C1D3
high	high	suicide	sucide
high	high	suicide	sui ment
high	high	suicide	sui tw
high	high	suicide	suicdal
high	high	suicide	suicde
high	high	suicide	suicial
high	high	suicide	suicida
high	high	suicide	suïcidaal
high	high	suicide	suicidaire
high	high	suicide	suicidal
high	high	suicide	suicidal ideation
high	high	suicide	suicidal ideation
high	high	suicide	suicidal ideation tw
high	high	suicide	suicidal mind
high	high	suicide	suicidal quotes
high	high	suicide	suicidal thoughts
high	high	suicide	suicidal thoughts
high	high	suicide	suicidal thoughts tw
high	high	suicide	suicidas
high	high	suicide	suicide
high	high	suicide	suïcide
high	high	suicide	suicide m
high	high	suicide	suicide ment
high	high	suicide	suicide mention cw
high	high	suicide	suicide mention tw
high	high	suicide	suicide note
high	high	suicide	suicide notes
high	high	suicide	suicidio
high	high	suicide	suicídio
high	high	suicide	suizid
high	high	eating	teatalks
high	high	suicide	tendencias suicidas
high	high	suicide	tendências suicidas
high	high	eating	th11nsp0
high	high	eating	th1nsp0
high	high	eating	th1nsp1rat1on
high	high	eating	th1nspo
high	high	eating	th1nspr0
high	high	eating	theen
medium	high	eating	theteaishotandthinnerthanyou
high	high	eating	thigh gap
high	high	eating	thigh gaps
high	high	eating	thiighgaap
medium	high	eating	thiiin
medium	high	eating	thiiinspiration
high	high	eating	thiinblr
high	high	eating	thiinpo
high	high	eating	thiinsperasion
high	high	eating	thiinspiration
high	high	eating	thiinspiro
high	high	eating	thiinspo
high	high	eating	thin insp0
high	high	eating	thin inspo
high	high	eating	thin thighs
high	high	eating	thin spo
high	high	eating	thinblr
high	high	eating	thinnerbydinner
high	high	eating	thinnernodinner
high	high	eating	thinnerwinner
high	high	eating	thinnsperasion
high	high	eating	thinnspiration
high	high	eating	thinnspo
high	high	eating	thins0
high	high	eating	thinsinpiration
high	high	eating	thinso
high	high	eating	thinsp
high	high	eating	thinsp0
high	high	eating	thinspa
high	high	eating	thinspi
high	high	eating	thinspii
high	high	eating	thinspir0
high	high	eating	thinspiracja
high	high	eating	thinspiracje
high	high	eating	thinspiration
high	high	eating	thinspire
high	high	eating	thinspiro
high	high	eating	thinspø
high	high	eating	thinspo tips
high	high	eating	thinspoo
high	high	eating	thinspooo
high	high	eating	thinsporation
high	high	eating	thinsporational
high	high	eating	thinspp0
high	high	eating	thinsppa
high	high	eating	thinsppi
high	high	eating	thinsppo
high	high	eating	thinspr0
high	high	eating	thinspration
high	high	eating	thinspri
high	high	eating	thinspro
high	high	eating	thinspu
high	high	eating	thinspx
high	high	eating	thinsspi
high	high	eating	thinsspo
high	high	eating	thnispo
high	high	eating	thyn
high	high	eating	thyn thighs
high	high	eating	thynsp
high	high	eating	thynspiration
high	high	eating	thynspo
medium	high	eating	tiny waist
medium	high	eating	tobeskinny
medium	high	wellness	trauma
medium	high	wellness	traumatized
high	high	eating	skinysp0
high	high	eating	skinyspo
high	high	eating	skip dinner get thinner
high	high	eating	skip dinner wake up thinner
high	high	eating	skipdinnerwakeupthinner
high	high	eating	skynny
high	high	eating	strivingforthriving
high	high	selfharm	svv
high	high	selfharm	sznyty
low	low	depression	afraid
low	low	depression	alone
medium	high	selfharm	bleed
medium	high	selfharm	bleeding
medium	high	selfharm	blood
high	low	eating	body issues
medium	low	parenting	boundaries
high	low	relationships	break up
low	low	depression	breakdown
high	low	relationships	breakup
low	low	depression	broken
medium	low	abuse	bully
medium	low	abuse	bullying
medium	low	eating	calorie counting
medium	low	eating	check body
high	low	eating	checkbody
medium	low	wellness	childhood trauma
low	low	school	college
medium	low	wellness	coping
medium	low	covid19	coronavirus
medium	low	covid19	covid
medium	low	covid19	covid19
low	low	depression	cry
low	low	depression	crying
low	low	depression	deaths
high	low	depression	depressed quotes
low	low	depression	depressing
high	low	depression	depressing blog
high	low	depression	depressing poems
high	low	depression	depressing poetry
medium	low	depression	depressing things
medium	low	depression	depressing thoughts
medium	low	depression	depressing tumblr
medium	low	depression	depression humor
high	low	depression	depression poem
high	low	depression	depression quotes
high	low	depression	depressive quotes
low	low	depression	hurts
low	low	depression	im sad
low	low	depression	im so sorry
high	low	depression	insomnia
high	low	depression	melancholy
high	low	depression	mentally tired
medium	low	depression	mourning
medium	low	depression	not good enough
medium	low	depression	pains
medium	low	covid19	pandemic
medium	low	wellness	sad
medium	low	wellness	sad blog
medium	low	wellness	sad gif
medium	low	wellness	sad girl
medium	low	wellness	sad quotes
medium	low	wellness	sad story
medium	low	wellness	sadness
medium	low	wellness	self doubt
medium	low	wellness	tears
low	low	depression	trigger
medium	low	depression	triste
medium	low	depression	tristesa
medium	low	wellness	unhappy
medium	low	wellness	unwanted
medium	low	wellness	upset
medium	low	wellness	useless
medium	low	depression	vacio
medium	low	depression	worthless
low	low	wellness	diet
low	low	wellness	dieting
medium	low	relationships	unappercaited
medium	low	relationships	underapperciated
medium	low	school	university
medium	low	relationships	unrequited love
medium	low	eating	vomitar
medium	low	wellness	well-being
medium	low	wellness	wellbeing
low	low	eating	whenlifegivesyoulemonwater
medium	low	wellness	emotional healing
medium	low	wellness	empathy
medium	low	wellness	forgiveness
medium	low	wellness	get motivated
low	low	wellness	habits
medium	low	wellness	healing
high	low	relationships	heart break
high	low	relationships	heartache
high	low	relationships	heartbreak
high	low	wellness	hope
high	low	wellness	hopeful
medium	low	relationships	I miss you
medium	low	eating	i wanna be skinny
medium	low	eating	i wanna be skiny
medium	low	eating	i wanna be thin
medium	low	eating	i want to be skiny
medium	low	eating	i want to be thin
medium	low	eating	i will be skinny
medium	low	eating	i-wanna-be-thin
medium	low	eating	i-want-to-be-thin
medium	low	parenting	infertitle
medium	low	eating	laxative
medium	low	eating	laxatives
medium	low	relationships	lost love
high	low	parenting	miscarriage
medium	low	relationships	missing you
high	low	wellness	motivatieyourself
high	low	wellness	motivating myself
high	low	wellness	motivation
medium	low	eating	need to lose weight
medium	high	eating	not pro anything
high	high	eating	not pro anything just using the tags
medium	low	relationships	one sided crush
medium	low	relationships	one sided friendship
medium	low	relationships	one sided love
medium	low	selfharm	pain
medium	low	relationships	painful
medium	low	parenting	postpartum
high	low	parenting	pregnancy loss
medium	low	eating	purge
medium	low	eating	purges
medium	high	eating	purging
low	low	wellness	purpose
medium	low	eating	restricted eating
medium	low	eating	restricting
high	low	eating	restrictingistough
high	low	eating	restrictive eating
medium	low	school	school
high	low	wellness	self improvement
high	low	wellness	self reflection
high	low	wellness	selfimprovement
high	low	wellness	selfworth
medium	low	eating	skinny
medium	low	eating	skinny girl
medium	low	eating	skiny body
medium	low	eating	skiny waist
medium	low	eating	stay thin
medium	low	school	student
medium	low	school	studentlife
medium	low	school	study
medium	low	eating	thin
medium	low	eating	thinning
medium	low	eating	throwing up
medium	low	school	exams
high	high	eating	ananeednomana
medium	high	eating	dij gap
medium	low	eating	dont binge
high	high	eating	not pr0
high	high	eating	not pr0 ana
high	high	eating	not pr0 ed
high	high	eating	not pr0 just using tags
high	high	eating	not pro
high	high	eating	not pro ana
high	high	eating	not pro ed
high	high	eating	not pro just adding tags
high	high	eating	not pro just use tags
high	high	eating	not pro just using tags
high	high	eating	not pro just venting
high	high	eating	not pro only using tags
high	high	eating	notproanythingjusttags
high	high	eating	notproanythingjustusingtags
high	high	eating	notproforanyonejustforme
high	high	eating	notprojustaddingtags
high	high	eating	notprojustforme
high	high	eating	notprojusttagging
high	high	eating	NOTPROJUSTTAGS
high	high	eating	notprojustusehashtags
high	high	eating	notprojustusingtags
high	high	eating	sweetspo
medium	high	eating	tagli
high	high	eating	tca
high	high	eating	abc diät
high	high	eating	abc आहार
high	high	eating	abc 다이어트
high	high	eating	abc 節食
high	high	eating	abc 节食
high	high	eating	abcダイエット
medium	low	eating	aç kalma
medium	low	selfharm	auto agresja
high	high	selfharm	auto-lesão
medium	low	selfharm	auto-lesivo
medium	low	selfharm	autoagresja
medium	low	selfharm	autolesão
high	high	selfharm	autolesion
high	high	selfharm	autolesión
high	high	selfharm	autolesionismo
high	high	selfharm	automutilação
high	high	eating	berhenti makan
high	high	eating	beslenme düzensizliği
low	high	selfharm	bezuinigingen
high	high	suicide	bunuh diri
high	high	suicide	carta de uma suicida
medium	low	eating	chuda
low	high	selfharm	cięcie się
medium	low	selfharm	comportamento auto-lesivo
medium	high	selfharm	daños autoinfligidos
low	high	selfharm	jiletleme
medium	high	selfharm	melukai diri sendiri
medium	high	selfharm	menyakiti diri
medium	high	selfharm	menyakiti diri sendiri
low	high	selfharm	navajas
high	high	selfharm	opzettelijke zelfbeschadiging
high	high	eating	zaburzenia odżywiania
high	high	eating	zaburzenia w odżywianiu
medium	high	selfharm	zelfbeschadigend gedrag
high	high	selfharm	zelfbeschadiging
medium	high	suicide	zelfdoding
high	high	suicide	zelfmoord
high	high	suicide	zelfmoordenaar
high	high	suicide	zelfmoordgedachten
medium	high	eating	zelfverwonden
high	high	selfharm	zelfverwonding
high	high	eating	анорексия
medium	high	eating	голодание
high	high	eating	голодовка
medium	high	depression	депрессия
high	high	eating	диета abc
high	high	selfharm	нанести себе вред
low	low	eating	нарушение питания
medium	low	selfharm	отрезать
medium	high	selfharm	резать
medium	low	selfharm	самовредительство
high	high	selfharm	самоповреждение
medium	low	selfharm	самоуничтожение
medium	low	eating	тощая
medium	low	eating	худая
medium	low	eating	अनियमित खान-पान के कारण दुर्बलता
medium	low	eating	अरुचि
low	low	suicide	आत्मघात
high	high	suicide	आत्महत्या
high	high	eating	उपवास का साथी
medium	high	selfharm	कट
medium	high	selfharm	कटिंग
high	high	selfharm	खुद को चोट पहुँचना
high	high	eating	जांघ की खाई
medium	low	eating	जांघ के बीच
low	low	depression	निराशा
medium	low	eating	पतला
medium	low	eating	भूखे रहना
medium	low	eating	거식증
medium	low	eating	거식증 환자
medium	high	eating	굶기
medium	low	eating	날씬
medium	low	eating	다이어트 친구
high	high	eating	섭식 장애
medium	high	selfharm	손목 긋기
medium	low	eating	싸이 갭
medium	high	depression	우울
high	high	suicide	자살
medium	low	selfharm	자해
medium	low	selfharm	칼빵
medium	low	eating	폭식
medium	low	eating	폭식증 환자
medium	low	eating	허벅지 틈
medium	low	eating	やせ
medium	low	eating	やせ願望
medium	low	selfharm	リスカ
medium	low	suicide	一了百了
medium	low	suicide	上吊
medium	low	eating	以瘦为美
medium	low	eating	催吐
low	low	selfharm	傷心
medium	low	suicide	傷痛
medium	high	selfharm	刀
medium	high	selfharm	刀刃
medium	high	selfharm	刀割
medium	high	selfharm	刀鋒
low	high	selfharm	切開
medium	high	selfharm	割伤
medium	high	selfharm	割傷
medium	high	selfharm	割痕
medium	high	selfharm	割脈
medium	high	selfharm	割腕
medium	low	selfharm	割開
low	low	eating	勵瘦
